,e1,relation,e2,date,predictions
5349,China,Deny responsibility,Vietnam,2014-12-17,"['Vietnam', 'Military Personnel (Afghanistan)', 'Head of Government (Ukraine)', 'Mevlut Cavusoglu', 'Interfax', 'Nurse (Venezuela)', 'People Associated with the Opposition (Bahrain)', 'Indigenous People (Greece)', 'Nuri al-Maliki', 'Sikh (India)']"
5350,Ministry (Kuwait),Make a visit,Sheikh Ali Salman,2014-05-27,"['House of Representatives (Jordan)', 'Legislature (Argentina)', 'Government (Ecuador)', 'Business (Uruguay)', 'Foreign Affairs (Russia)', 'Victoria Nuland', 'Riek Machar', 'Daniel Scioli', 'Protester (Ukraine)', 'Head of Government (Poland)']"
5351,Other Authorities / Officials (China),Demonstrate military or police power,China,2014-06-04,"['China', 'Barack Obama', 'Government Official (Japan)', 'Representatives (Slovakia)', 'János Áder', '""Uganda People\\\'s Defence Force""', 'Angela Merkel', 'Emrullah Isler', 'Police (Israel)', 'Government (United States)']"
5352,Mohammad Javad Zarif,Make optimistic comment,Iran,2014-10-14,"['Ivan Gasparovic', 'European Parliament', 'Congress of South African Trade Unions', 'Member of Legislative (Govt) (Iran)', 'Akja Nuberdiyeva', 'European Central Bank', '""Citizen (Cote d\\\'Ivoire)""', 'Iran', 'Congress (Argentina)', 'Pilgrim (India)']"
5353,Ministry (Nigeria),Express intent to cooperate,Company - Owner or Operator (Nigeria),2014-05-23,"['Head of Government (Afghanistan)', 'Mahinda Rajapaksa', 'Martin Stropnický', 'Jyrki Katainen', 'Mohammad Javad Zarif', 'Head of Government (Bahrain)', 'Nuri al-Maliki', 'Military Personnel (Bahrain)', 'Military Personnel (Benin)', 'Mallam Isa Yuguda']"
5354,Evangelos Venizelos,Consult,Antonis Samaras,2014-10-07,"['Antonis Samaras', 'Shura Council', 'Head of Government (Egypt)', 'Inter-Services Intelligence', 'Mexico', 'Party Member (Afghanistan)', 'European Central Bank', 'Pope Francis', 'Royal Administration (Jordan)', 'Sergio Massa']"
5355,Mohammad Mohaqiq,Accuse,Ashraf Ghani Ahmadzai,2014-09-02,"['Company - Owner or Operator (Nigeria)', 'Head of Government (Ukraine)', 'Protester (Ukraine)', 'Legislature (Turkey)', 'Mexico', 'Pope Francis', 'Baron Waqa', 'Cameroon', 'Member of Parliament (Iraq)', 'Citizen (United Arab Emirates)']"
5356,John Kerry,Make a visit,Iraq,2014-09-12,"['Iraq', 'Citizen (Turkey)', 'National Council for Peace and Order of Thailand', 'Head of Government (Afghanistan)', 'Men (Pakistan)', 'Laos', 'Nasser Judeh', 'Interfax', 'Election Commission (India)', 'Abdullah Gül']"
5357,Ministry (Nigeria),Make statement,Farm Worker (Nigeria),2014-04-14,"['Joachim Gauck', 'Other Authorities / Officials (Egypt)', 'Bhutan', 'France', 'Herve Ladsous', 'Oversight Court (Azerbaijan)', 'Guy Ryder', 'Food and Agriculture Organization', 'Ministry (Liberia)', 'Mauritania']"
5358,Troy Buswell,Bring lawsuit against,Member of Parliament (Australia),2014-02-08,"['Member of Parliament (Australia)', 'Muhammadu Buhari', 'Military Personnel (Canada)', 'Kim Jong-Un', 'Member of the Judiciary (United Arab Emirates)', 'Julie Bishop', 'Combatant (Taliban)', 'Gambia', 'Romania', 'Other Authorities / Officials (Libya)']"
5359,Iraq,Praise or endorse,Haider Al-Abadi,2014-10-20,"['Haider Al-Abadi', 'Government (Kenya)', 'Head of Government (Qatar)', 'Ministry (Egypt)', 'Evangelos Venizelos', 'Military (North Korea)', 'Education Ministry (France)', 'People Associated with the Opposition (Benin)', 'Media (Africa)', 'United Arab Emirates']"
5360,Joseph Robinette Biden,Discuss by telephone,Arseniy Yatsenyuk,2014-09-17,"['Arseniy Yatsenyuk', 'Ng Eng Hen', '""Uganda People\\\'s Defence Force""', 'UN Security Council', 'Other Authorities / Officials (Turkey)', 'Victor Ponta', 'Federica Mogherini', 'Naval Base (India)', 'Citizen (Venezuela)', 'Simbarashe Mumbengegwi']"
5361,John Kerry,Consult,France,2014-10-16,"['France', 'Combatant (Iraqi Kurds)', 'Togo', 'Labor Party (United Kingdom)', 'Detainee (Lebanon)', 'Kim Jong-Un', 'Citizen (Brazil)', 'Ministry (Tunisia)', 'Police (Belgium)', 'City Mayor (Costa Rica)']"
5362,Zhang Dejiang,Make statement,China,2014-10-14,"['China', 'Citizen (Unidentified State Actor)', 'Raúl Castro', 'South Africa', 'Ivan Gasparovic', 'Medical Personnel (Jordan)', 'Party Member (Afghanistan)', 'Citizen (Yemen)', 'Emrullah Isler', 'Labor Party (United Kingdom)']"
5363,Dissident (Iran),Make statement,Iran,2014-10-08,"['Iran', 'Head of Government (South Korea)', 'Government Official (Japan)', 'Court Judge (Kenya)', 'Citizen (South Korea)', 'Media (Saudi Arabia)', 'Nasser Judeh', 'Paul Kagame', 'Ashraf Ghani Ahmadzai', 'Head of Government (China)']"
5364,Chuck Hagel,Make statement,Military (Turkey),2014-10-13,"['Citizen (India)', 'Isaias Afewerki', 'Villager (India)', 'Bangladesh Nationalist Party', 'Business (Poland)', 'Ministry (Czech Republic)', 'Treasury/Finance Ministry (Bangladesh)', 'Royal Administration (Jordan)', 'Ministry (Nigeria)', 'Amit Shah']"
5365,Bertie Ahern,Engage in negotiation,Iran,2014-02-07,"['Iran', 'Businessperson (Belarus)', 'Special Rapporteurs of the United Nations', 'Gjorge Ivanov', 'Media (Africa)', 'Independent Democratic Action', 'Police (Bulgaria)', 'Other Authorities / Officials (Turkey)', 'Military Personnel (Afghanistan)', 'Newspaper (Japan)']"
5366,Protester (Egypt),Demonstrate or rally,Police (Egypt),2014-05-30,"['Ministry (Venezuela)', 'Ram Gopal Yadav', 'Activist (Nigeria)', 'Military Personnel - Special (Mexico)', 'Tanzania', 'Human Rights Group (Malaysia)', 'Qatar', 'Men (Pakistan)', 'Head of Government (Qatar)', 'Military Personnel (Afghanistan)']"
5367,Military (Philippines),Use conventional military force,Philippines,2014-03-13,"['Rauf Aregbesola', 'Philippines', 'Military Personnel (Afghanistan)', 'Bank (Iran)', 'Armed Rebel (Ukraine)', 'Carrie Lam', 'New Zealand', 'Legislature (Libya)', 'Citizen (Nigeria)', 'Government (Angola)']"
5368,François Hollande,Host a visit,Head of Government (Egypt),2014-11-27,"['Akja Nuberdiyeva', 'Insurgent (Afghanistan)', 'Citizen (Tanzania)', 'Head of Government (Gambia)', 'Military Personnel - Special (Mexico)', 'Kevin Rudd', 'Mohamed Ould Abdel Aziz', 'Government Official (Afghanistan)', 'Newspaper (Japan)', 'Togo']"
5369,Election Commission (India),Reduce or break diplomatic relations,Amit Shah,2014-04-19,"['Amit Shah', 'Ministry of Shipping (India)', 'Jonathan Greenert', 'Mary Robinson', 'Police (Peru)', 'Qatar', 'Tanzania', 'Business (Uruguay)', 'Babbar Khalsa', 'Finance / Economy / Commerce / Trade Ministry (Zambia)']"
5370,Xi Jinping,Express intent to meet or negotiate,Citizen (Venezuela),2014-07-20,"['Ministry (Czech Republic)', 'Head of Government (Palestinian Territory', 'Occupied)', 'European Parliament', 'Democratic Forces for the Liberation of Rwanda', 'Ministry (Malaysia)', 'Governor (Venezuela)', 'Ng Eng Hen', 'City Mayor (Ukraine)', 'Police (Burundi)', 'South African National Defence Force']"
5371,Military Personnel (Yemen),Demand,Citizen (Yemen),2014-05-17,"['Citizen (Yemen)', 'Treasury/Finance Ministry (Thailand)', 'Military Personnel (Canada)', 'Colombia', 'Zhang Dejiang', 'Serbia', 'Cabinet / Council of Ministers / Advisors (Senegal)', 'South Sudan', 'Government (Poland)', 'Ashraf Ghani Ahmadzai']"
5372,Cabinet / Council of Ministers / Advisors (United States),Consult,Presidential Candidate (Afghanistan),2014-07-24,"['Presidential Candidate (Afghanistan)', 'Military (Turkey)', 'Congress of South African Trade Unions', 'Labor Union (Nigeria)', 'Legislature (South Africa)', 'Carrie Lam', 'Military Personnel - Special (Afghanistan)', 'Sudan', 'Ministry (Liberia)', 'Ram Gopal Yadav']"
5373,Iran,Praise or endorse,Nabih Berri,2014-08-11,"['Nabih Berri', 'Government (United States)', 'Morgan Tsvangirai', 'Citizen (Turkey)', 'Election Commission (India)', 'Media (Qatar)', 'Nathan Cirillo', 'Congo', 'Farm Worker (Nigeria)', 'Fishermen (India)']"
5374,Iran,Express intent to provide material aid,Iraq,2014-06-12,"['Vietnam', 'Kuwait', 'Hun Sen', 'Iraq', 'Criminal (Guatemala)', 'Shahin Mustafayev', 'Head of Government (Ukraine)', 'People Associated with the Opposition (Argentina)', 'Media Personnel (Maldives)', 'Villager (Thailand)']"
5375,Amnesty International,Accuse of human rights abuses,Boko Haram,2014-08-05,"['Giorgio Napolitano', 'Hassan Joho', 'Takeshi Onaga', 'Agence France-Presse', '""Citizen (Cote d\\\'Ivoire)""', 'Member of Legislative (Govt) (Nigeria)', 'Indigenous People (India)', 'Armed Rebel (Ukraine)', 'Government (Nigeria)', 'European Central Bank']"
5376,Sergey Viktorovich Lavrov,Express accord,John Kerry,2014-06-05,"['Activist (Nigeria)', 'Defense / Security Ministry (Nigeria)', 'Ministry (South Africa)', 'Newspaper (Japan)', 'Agence France-Presse', 'Djoomart Otorbaev', 'United Arab Emirates', 'Congress of South African Trade Unions', 'Detainee (Rwanda)', 'Ministry (Liberia)']"
5377,Christian Noyer,Make an appeal or request,Government (France),2014-09-12,"['European Central Bank', 'The Standard', 'Abdul Aziz', 'Colombia', 'Interfax', 'Defense / Security Ministry (Russia)', 'Military (Lebanon)', 'Other Authorities / Officials (Mauritania)', 'Shahin Mustafayev', 'Criminal (Guatemala)']"
5378,Military Personnel (Kenya),Investigate,Police (Kenya),2014-01-02,"['Police (Kenya)', 'Inter-Services Intelligence', 'European Parliament', 'Armenia', 'Citizen (India)', 'Kuwait', 'Alexander Lukashevich', 'Government (United States)', 'Oommen Chandy', 'Businessperson (United Kingdom)']"
5379,Ibrahim Shehu Shema,Make an appeal or request,News Editor (Nigeria),2014-09-01,"['Foreign Affairs (Hungary)', 'Constitutional Court (Romania)', 'France', 'Governor (Chile)', 'Mike Simpson', 'Eli Yishai', 'Ministry (Zimbabwe)', '""Citizen (Cote d\\\'Ivoire)""', 'Iran', 'Cable News Network']"
5380,South Korea,Consider policy option,Poland,2014-12-14,"['Government (Argentina)', 'France', 'Sergey Kuzhugetovich Shoygu', 'Education Ministry (Philippines)', 'European Central Bank', 'Akja Nuberdiyeva', 'Ethiopia', 'Member of Legislative (Govt) (Iran)', 'Ministry (Liberia)', 'Ministry (Afghanistan)']"
5381,Associated Press,Discuss by telephone,Ombudsman (Venezuela),2014-03-11,"['Citizen (United Arab Emirates)', 'Ireland', 'Army Intelligence (Colombia)', 'Prabowo Subianto', 'High Commission for Refugees', '""Uganda People\\\'s Defence Force""', 'Drug Gang (Uganda)', 'Business (Tunisia)', 'Husam Mughazi', 'Military Personnel (Nigeria)']"
5382,Saud bin Faisal bin Abdul-Aziz,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-01-05,"['Fumio Kishida', 'Party Member (Afghanistan)', 'Refugee (Chad)', 'North Atlantic Treaty Organization', 'Member of Parliament (Germany)', 'Opposition Supporter (Pakistan)', 'Oommen Chandy', 'Madagascar', 'Employee (Jordan)', 'Inter-Services Intelligence']"
5383,Manuel Augusto,Make statement,Angola,2014-04-07,"['Angola', 'Businessperson (Italy)', 'Police (Philippines)', 'Michael Sata', 'Citizen (Bangladesh)', 'Nuri al-Maliki', 'Shura Council', 'Military Personnel - Special (Nigeria)', 'Iran', 'Government (Sweden)']"
5384,Vitali Klitschko,Make an appeal or request,Protester (Ukraine),2014-01-23,"['Takeshi Onaga', 'Agence France-Presse', 'Chishimba Kambwili', 'Marziyeh Afkham', 'Gabriel Torwua Suswam', 'Protester (Ukraine)', 'Head of Government (Kenya)', 'Viktor Orban', 'North Atlantic Treaty Organization', 'Other Authorities / Officials (United States)']"
5385,Antonis Samaras,Make optimistic comment,Ruling Coalition (Greece),2014-05-25,"['Bishop (South Africa)', 'Wang Yang', 'Azubuike Ihejirika', 'Iran', 'Criminal (Guatemala)', 'Legislature (Czech Republic)', 'Ireland', 'Agence France-Presse', 'Congo', 'Nationalist Movement Party']"
5386,Government (United States),Make statement,North Korea,2014-07-16,"['Mahinda Rajapaksa', 'North Korea', 'Interfax', 'Villager (India)', 'Member of Parliament (India)', 'Tarun Gogoi', 'Other Authorities / Officials (China)', 'Congo', 'Sindh High Court', 'Boko Haram']"
5387,Businessperson (France),Consult,Abdel Fattah Al-Sisi,2014-11-28,"['Abdel Fattah Al-Sisi', 'Labor Union (Croatia)', 'Guy Ryder', 'Kyoto University', 'Special Rapporteurs of the United Nations', 'Military (Russia)', 'Member of Parliament (Australia)', 'Philippines', 'Citizen (Botswana)', 'Congress (Philippines)']"
5388,Kuwait,Provide humanitarian aid,Iraq,2014-06-17,"['Iraq', 'Police (Egypt)', 'City Mayor (South Africa)', 'Nasser Judeh', 'Foreign Affairs (Russia)', 'Armenia', 'Bahrain', 'Evangelos Venizelos', 'Sergey Viktorovich Lavrov', 'Associated Press']"
5389,Cleric (Nigeria),Praise or endorse,Government (Nigeria),2014-05-19,"['Government (Nigeria)', 'City Mayor (Bosnia and Herzegovina)', 'Police (Burundi)', 'François Hollande', 'Akja Nuberdiyeva', 'Police (Belgium)', 'Foreign Affairs (United States)', 'Children (Israel)', 'Criminal (Guatemala)', 'Insurgent (Afghanistan)']"
5390,Lawyer/Attorney (South Korea),"Arrest, detain, or charge with legal action",Police (South Korea),2014-07-16,"['Ion Iliescu', 'Legislature (Russia)', 'Ivan Gasparovic', 'Ashraf Ghani Ahmadzai', 'European Central Bank', 'Abdelilah Benkirane', 'Police (South Korea)', 'Justice and Development Party', 'Treasury/Finance Ministry (Lebanon)', 'United Arab Emirates']"
5391,Military (Philippines),Use conventional military force,Militant (Philippines),2014-01-27,"['European Central Bank', 'Ministry (Afghanistan)', 'Chaturon Chaisang', 'Liyel Imoke', 'Government Official (Japan)', 'Mary Robinson', 'Member of Parliament (South Africa)', '""Uganda People\\\'s Defence Force""', 'Court Judge (Kenya)', 'Kisii']"
5392,Harish Rawat,Make statement,Member of Parliament (India),2014-11-10,"['Rauf Aregbesola', 'Kim Jong-Un', 'Legislature (Russia)', 'International Monetary Fund', 'Head of Government (Nigeria)', 'Serbia', 'Abdelilah Benkirane', 'Military Personnel - Special (Mexico)', 'China', 'Massoud Barzani']"
5393,Head of Government (Nigeria),Make statement,Ministry (Nigeria),2014-12-29,"['Simbarashe Mumbengegwi', 'Information Ministry (India)', 'Member of Parliament (Australia)', 'Nathan Cirillo', 'Arab Israelis', 'Mikhail Margelov', 'Konstantin Dolgov', 'Court Judge (Iraq)', 'Prem Tinsulanonda', 'Military Personnel (Paraguay)']"
5394,Citizen (Nigeria),Threaten,Government (Nigeria),2014-06-17,"['Government (Nigeria)', 'Treasury/Finance Ministry (Bangladesh)', 'People Associated with the Opposition (Bahrain)', 'Democratic Forces for the Liberation of Rwanda', 'Criminal (Australia)', 'UN Security Council', 'Agence France-Presse', 'Morocco', 'Military Personnel (Kenya)', 'Special Rapporteurs of the United Nations']"
5395,Foreign Affairs (Ukraine),Make a visit,Foreign Affairs (Russia),2014-06-18,"['Foreign Affairs (Russia)', 'Fumio Kishida', 'Settler (Israel)', 'Lawyer/Attorney (Philippines)', 'Military (France)', 'Interfax', 'Ministry (Liberia)', 'Angela Merkel', 'Morgan Tsvangirai', 'Police (Israel)']"
5396,Royal Administration (Nigeria),Praise or endorse,Ministry (Nigeria),2014-10-10,"['Ministry (Nigeria)', 'Media (Qatar)', 'Oman', 'Muhammadu Buhari', 'Military Academy (North Korea)', 'Oleh Lyashko', 'Criminal (Guatemala)', 'Rights Activist (Belarus)', 'Mikhail Margelov', 'Congo']"
5397,Chris Alexander,Make statement,Canada,2014-02-14,"['Government (Sweden)', 'Nuri al-Maliki', 'Association of Southeast Asian Nations', 'Chief of Staff (French Air Force)', 'City Mayor (South Africa)', 'Canada', 'Gideon Gono', 'European Central Bank', 'African Union', 'Government Official (United Kingdom)']"
5398,Justice Department/Ministery (Pakistan),Make statement,Government (Pakistan),2014-11-10,"['Government (Pakistan)', 'Women (Australia)', 'Didier Burkhalter', 'Democratic Forces for the Liberation of Rwanda', 'Oman', 'Education (United States)', 'Sindh High Court', 'Indigenous People (Greece)', 'Medical Personnel (Jordan)', 'Sergey Kuzhugetovich Shoygu']"
5399,Foreign Affairs (Georgia),Consult,Royal Administration (Saudi Arabia),2014-09-23,"['Royal Administration (Saudi Arabia)', 'Military (Thailand)', 'Tamar Beruchashvili', 'Raúl Castro', 'Kisii', 'Bahrain', 'Miguel Ángel Osorio Chong', 'Foreign Affairs (Hungary)', 'Labor Union (Croatia)', 'Defense / Security Ministry (Egypt)']"
5400,Government (Syria),Accuse,National Coalition for Syrian Revolutionary and Opposition Forces,2014-01-26,"['Military Personnel (Bahrain)', 'Progressive Party (Nigeria)', 'Bratislav Gasic', 'Prem Tinsulanonda', 'Djibouti', 'City Mayor (South Africa)', 'Evangelos Venizelos', 'Delyan Peevski', 'Isaias Afewerki', 'UN Security Council']"
5401,Ravi Shankar Prasad,Make an appeal or request,Head of Government (India),2014-11-08,"['Tamar Beruchashvili', 'Head of Government (India)', 'Military (El Salvador)', 'Election Commission (India)', 'Sadayuki Sakakibara', 'Lawyer/Attorney (Argentina)', 'Japan', 'Party Member (Iraq)', 'Mari Pili Hernandez', 'Chief of Staff (Tunisia)']"
5402,Police (Israel),Use conventional military force,Religion (Israel),2014-11-07,"['Pavlo Klimkin', 'Zhang Dejiang', 'Women (Indonesia)', 'People Associated with the Opposition (Bahrain)', 'Chaturon Chaisang', 'Legislature (Czech Republic)', 'Head of Government (Ghana)', 'Police (Benin)', 'Ion Iliescu', 'Congress (Philippines)']"
5403,Other Authorities / Officials (Nigeria),Accuse,Citizen (Nigeria),2014-04-30,"['Citizen (Nigeria)', 'Morgan Tsvangirai', 'Education (United States)', 'Criminal (Pokot)', 'Ministry (Madagascar)', 'Cabinet / Council of Ministers / Advisors (United States)', 'Ryoo Kihl-jae', 'Special Rapporteurs of the United Nations', 'Foreign Affairs (Namibia)', 'Alexis Tsipras']"
5404,Company - Owner or Operator (Nigeria),Impose administrative sanctions,Citizen (Nigeria),2014-04-29,"['Presidential Press Service (Nigeria)', 'Mohammad Javad Zarif', 'Government (Nigeria)', 'Armenia', 'South Africa', 'Indigenous People (Nigeria)', '""Criminal (Hell\\\'s Angels)""', 'Defense / Security Ministry (Russia)', 'Lawyer/Attorney (Australia)', 'Activist (Syria)']"
5405,Louise Mushikiwabo,Sign formal agreement,Richard Sezibera,2014-02-26,"['Military Personnel (Kenya)', 'Colombia', 'Lloyd Austin', 'Militant (Nigeria)', 'Tajikistan', 'Yemi Osinbajo', 'Børge Brende', 'Men (United Kingdom)', 'Liyel Imoke', 'Office of the United Nations High Commissioner for Human Rights']"
5406,Akhilesh Yadav,Consult,Labor Union (India),2014-12-20,"['Labor Union (India)', 'Enrico Letta', 'Attacker (Jordan)', 'Bank (Iran)', 'Shahin Mustafayev', 'Undersecretary (United Arab Emirates)', 'Abdirahman Ducaale Bayle', 'Citizen (India)', 'Militant (Yemen)', 'Angola']"
5407,Armed Rebel (Yemen),Use unconventional violence,Militant (Yemen),2014-12-15,"['Local Media (Brazil)', 'Megawati Sukarnoputri', 'Michael D. Higgins', 'Citizen (Malaysia)', 'RIA Novosti', 'Employee (Jordan)', 'Pope Francis', 'Gabriel Torwua Suswam', 'Activist (Syria)', 'Uhuru Muigai Kenyatta']"
5408,Benjamin Netanyahu,Consult,Barack Obama,2014-03-08,"['Barack Obama', 'Trade Union Congress', 'Sheikh Hamad bin Isa al Khalifah', 'Citizen (Brazil)', 'Isaias Afewerki', 'Head of Government (China)', 'Ministry (Venezuela)', 'Ministry (Egypt)', 'Massoud Barzani', 'Employee (India)']"
5409,Haider Al-Abadi,Engage in negotiation,John Kerry,2014-09-10,"['John Kerry', 'Military Personnel (Afghanistan)', 'National Council for Peace and Order of Thailand', 'Lawyer/Attorney (Argentina)', 'Representatives (Slovakia)', 'Ministry (Afghanistan)', 'Ministry (France)', 'Government Official (Japan)', '""Uganda People\\\'s Defence Force""', 'Ryoo Kihl-jae']"
5410,Pope Francis,Threaten with military force,Citizen (South Korea),2014-08-13,"['Evangelos Venizelos', 'Head of Government (Egypt)', 'Congo', 'Mexico', 'Citizen (South Korea)', 'Azubuike Ihejirika', 'Mohammad Javad Zarif', 'Hamas', 'Peacekeeping Troop (Central African Republic)', 'Michael Brown']"
5411,Police (South Africa),"Abduct, hijack, or take hostage",South Africa,2014-11-10,"['South Africa', 'Presidential Press Service (Nigeria)', 'Government Official (Japan)', 'Lawyer/Attorney (Australia)', 'Prayuth Chan-ocha', 'International Monetary Fund', 'Amnesty International', 'Defense / Security Ministry (Nigeria)', 'Congress (Philippines)', 'Population (Kenya)']"
5412,Peter Szijjarto,Engage in negotiation,Sergey Viktorovich Lavrov,2014-11-21,"['Sergey Viktorovich Lavrov', 'Fumio Kishida', 'Businessperson (Italy)', 'Legislature (Russia)', 'City Mayor (Argentina)', 'Milos Zeman', 'Mary Robinson', 'High Ranking Military Personnel (United Kingdom)', 'Head of Government (Qatar)', 'Julian Paul Assange']"
5413,Catherine Ashton,Sign formal agreement,Mohammad Javad Zarif,2014-10-15,"['Citizen (Sudan)', 'Colombia', 'People Associated with the Opposition (Bahrain)', 'Military (Thailand)', 'Armenia', 'Abdullah Gül', 'Mohammad Javad Zarif', 'Al-Shabaab', 'Senate (United Kingdom)', 'Opposition Supporter (India)']"
5414,Citizen (India),Make optimistic comment,Aam Aadmi Party,2014-02-01,"['Election Commission (India)', 'Military Personnel (Mali)', 'Gerhard Schröder', 'City Mayor (Costa Rica)', 'Governor (Japan)', 'Businessperson (Czech Republic)', 'Lawyer/Attorney (Australia)', 'Military Advisor (United States)', 'Food and Agriculture Organization', 'Pervez Musharraf']"
5415,Education Ministry (Estonia),Make statement,Foreign Affairs (Russia),2014-01-21,"['Military (Argentina)', '""Citizen (Cote d\\\'Ivoire)""', 'International Court of Justice', 'Julie Bishop', 'Gjorge Ivanov', 'Criminal (Italy)', 'Foreign Affairs (Russia)', 'Amnesty International', 'Indigenous People (Thailand)', 'Tajikistan']"
5416,Citizen (Venezuela),Yield,Other Authorities / Officials (Venezuela),2014-02-14,"['Ministry (Venezuela)', 'Amit Shah', 'Barnaba Marial Benjamin', 'Indigenous People (United Kingdom)', 'Royal Administration (Saudi Arabia)', 'Hezbollah', 'Population (Angola)', 'Mikhail Margelov', 'City Mayor (Ukraine)', 'Kuomintang']"
5417,Muslim (Nigeria),Make an appeal or request,Government (Nigeria),2014-04-28,"['Government (Nigeria)', 'Vojislav Šešelj', 'Member of Parliament (Sri Lanka)', 'Presidential Press Service (Nigeria)', 'Ministry (Tunisia)', 'Interfax', 'Mikhail Margelov', 'Head of Government (Ukraine)', 'Kyoto University', 'Public Prosecutor (Greece)']"
5418,Police (South Korea),"Arrest, detain, or charge with legal action",Citizen (South Korea),2014-07-27,"['Citizen (Brazil)', 'Food and Agriculture Organization', 'Citizen (South Korea)', 'Citizen (Thailand)', 'Military Personnel (Canada)', 'Citizen (North Korea)', 'Environment Department/Ministry (Jordan)', 'Fumio Kishida', 'Men (Pakistan)', 'Government (Sweden)']"
5419,Salvador Sánchez Cerén,Sign formal agreement,Ma Ying Jeou,2014-07-05,"['Kim Jong-Un', 'Ma Ying Jeou', 'Enrico Letta', 'Djoomart Otorbaev', 'Mujahideen (Somalia)', 'Foreign Affairs (Russia)', 'Royal Administration (Jordan)', 'Independent Corrupt Practices Commission', 'Government (Kenya)', 'Costco']"
5420,Military (United Kingdom),Express intent to meet or negotiate,Afghanistan,2014-08-05,"['Election Commission (Afghanistan)', 'Armed Rebel (Syria)', 'Iraq', 'Military Personnel (Paraguay)', 'Defector (South Korea)', 'Military (Turkey)', 'Head of Government (Poland)', 'Legislature (China)', '""Uganda People\\\'s Defence Force""', 'Citizen (Germany)']"
5421,Student (Hong Kong),Demonstrate or rally,China,2014-10-09,"['China', 'Vietnam', 'Other Authorities / Officials (Romania)', 'European Central Bank', 'Defense / Security Ministry (Nigeria)', 'Chuck Hagel', 'Police (Ethiopia)', 'Ministry (Russia)', 'France', 'Abdul Aziz']"
5422,Citizen (Nigeria),Make an appeal or request,Adams Oshiomhole,2014-01-29,"['Medical Personnel (Jordan)', 'Police (Hong Kong)', 'Isao Iijima', 'Government Official (United States)', 'Other Authorities / Officials (Mexico)', 'People Associated with the Opposition (Sri Lanka)', 'Military Personnel (Paraguay)', 'People Associated with the Opposition (Russia)', 'Head of Government (Timor-Leste)', 'Defense / Security Ministry (Nigeria)']"
5423,Defense / Security Ministry (Iraq),Make statement,Iraq,2014-12-24,"['Colombia', 'Aam Aadmi Party', 'Victor Ponta', 'Iraq', 'Protester (Thailand)', 'Djibouti', 'Macky Sall', 'Mamnoon Hussain', 'Liyel Imoke', 'Militant (Turkey)']"
5424,Femi Falana,Make an appeal or request,Independent Corrupt Practices Commission,2014-02-14,"['Police (Burundi)', 'Armed Gang (Afghanistan)', 'Women (Mexico)', 'Activist (Syria)', 'Protester (Paraguay)', 'Kazakhstan', 'Ivan Gasparovic', 'Independent Corrupt Practices Commission', 'Foreign Affairs (Ukraine)', 'Military Personnel (Thailand)']"
5425,Iraq,Host a visit,John Baird,2014-09-07,"['Association of Southeast Asian Nations', 'Abdirahman Ducaale Bayle', 'Asylum Seeker (Chile)', 'Representatives (Slovakia)', 'Military (Argentina)', 'Men (India)', 'Edgars Rinkevics', 'Military (Mozambique)', 'Jitan Ram Manjhi', 'Vietnam']"
5426,Cambodia,"Arrest, detain, or charge with legal action",Men (Cambodia),2014-02-28,"['Colombia', 'Web Site (Lithuania)', 'Police (Philippines)', 'Datuk Seri Tengku Adnan Tengku Mansor', 'Tsai Ing-wen', 'Kazakhstan', 'Armenia', 'City Mayor (Philippines)', 'Legislature (Libya)', 'Military (United Kingdom)']"
5427,Member of Parliament (India),Make statement,Vasundhara Raje,2014-08-13,"['Head of Government (Qatar)', 'Citizen (United Kingdom)', 'Villager (India)', 'Citizen (Malaysia)', 'Media (Swaziland)', 'James Wani Igga', 'Conservative Party (United Kingdom)', 'Chishimba Kambwili', 'Information / Communication / Transparency Ministry (Jordan)', 'Chris Murphy']"
5428,Media Personnel (New Zealand),Make statement,Police (New Zealand),2014-07-16,"['Labor Union (Croatia)', 'Head of Government (Palestinian Territory', 'Occupied)', 'Employee (Iraq)', 'Police (Burundi)', 'Citizen (Uganda)', 'Shigefumi Matsuzawa', 'Iraq', 'Human Rights Watch', 'Business (Bulgaria)', 'Military (Lebanon)']"
5429,Zhang Dejiang,Accuse,Japan,2014-05-06,"['Abdul Aziz', 'Citizen (Brazil)', 'Japan', 'Head of Government (Ukraine)', 'Employee (India)', 'Rauf Aregbesola', 'Office of the United Nations High Commissioner for Human Rights', 'Military (Mali)', 'Victor Ponta', 'City Mayor (Ukraine)']"
5430,Iraq,Criticize or denounce,Iran,2014-09-12,"['Iran', 'Hassan Joho', 'Paul Kagame', 'Myanmar', 'Business (Bulgaria)', 'Macky Sall', 'Organisation of Islamic Cooperation', 'European Central Bank', 'Media (Africa)', 'Morgan Tsvangirai']"
5431,Lawyer/Attorney (Kenya),"Arrest, detain, or charge with legal action",Citizen (Kenya),2014-04-16,"['Citizen (Kenya)', 'City Mayor (South Africa)', 'William ole Ntimama', 'Foreign Affairs (Hungary)', 'Macky Sall', 'France', 'Government (Nigeria)', 'Defense / Security Ministry (Angola)', 'Government (South Africa)', 'Environment Department/Ministry (Ukraine)']"
